"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
1,"CH","Switzerland",87.67,92.19,84.67,100,76.56,100,96.95,49.24,49.65,0,100,78.14,100,95,78.21,56.47,100,100,96.95,6.48,92,49.65,0,0,100,100,0,0,67.91,38.47,98.63,100,2014
2,"LU","Luxembourg",83.29,92.26,77.31,94.79,81.98,100,95,65.33,33.76,0,100,56.75,94.79,95,85.84,65.11,100,100,95,38.67,92,33.76,0,0,100,100,0,0,65.21,54.4,39.86,100,2014
3,"AU","Australia",82.4,99.44,71.03,100,98.33,100,92.33,66.46,100,19.37,83.08,47.67,100,95,100,100,100,100,92.33,56.91,76,100,24.1,14.65,72.06,70.97,99.29,90,44.55,31.12,53.98,100,2014
4,"SG","Singapore",81.78,99.44,70.01,100,98.33,100,99.65,96,0,0,46.33,86.85,100,95,100,100,100,100,99.65,0,96,0,0,0,28.47,28.47,82.04,0,90,0,81.37,73,2014
5,"CZ","Czech Republic",81.47,90.63,75.35,100,73.99,97.91,75.68,67.07,45.05,0,98.35,65.82,100,100,74.48,47.48,99.87,95.95,75.68,38.14,96,45.05,0,0,98.35,98.41,0,0,77.62,30.98,54.43,100,2014
6,"DE","Germany",80.47,92.83,72.23,100,78.5,100,95.18,65.31,31.35,13.4,100,62.77,100,95,82.24,58.27,100,100,95.18,38.62,92,31.35,8.33,18.46,100,100,100,0,65.24,27.82,58.26,100,2014
7,"ES","Spain",79.79,97.63,67.89,96.17,97.37,99.33,92.83,65.19,45.05,23.24,56.56,81.84,96.17,95,100,97.12,99.76,98.91,92.83,38.38,92,45.05,21.69,24.8,50.34,46.11,73.21,0,77.96,69.8,89.97,100,2014
8,"AT","Austria",78.32,92.15,69.11,100,76.45,100,79.05,65.49,19.87,0,86.59,62.09,100,95,78.96,55.4,100,100,79.05,38.98,92,19.87,0,0,86.59,93.99,0,0,54.7,51.19,76.91,100,2014
9,"SE","Sweden",78.09,99.04,64.12,100,97.13,100,87.86,65.18,14.35,25.3,62.38,77.34,100,95,100,96.4,100,100,87.86,38.35,92,14.35,11.76,38.83,47.29,50.31,89.54,0,77.67,29.51,76.93,100,2014
10,"NO","Norway",78.04,99.44,63.77,100,98.33,100,77.05,46.6,32.52,20.88,71.68,75.65,100,95,100,100,100,100,77.05,1.19,92,32.52,14.86,26.9,76.31,78.34,60.41,0,65.82,15.48,95.33,100,2014
